Image Number,Image,Predication Number,Label Name,Confidence,Pixel Area Mask,cm Area Mask,Pixel Length,cm Length ,Pixel Width,cm Width ,Box Rotation Degrees,Validation Number,Pixel Area Validation,Pixel Length Validation,Pixel Width Validation,Box Rotation Degrees Validation,Pixel Area Accuracy %,Pixel Length Accuracy %,Pixel Width Accuracy %,Box Rotation Degrees Accuracy %,IOU %,Prediction,Validation,Prediction & Validation,Predication No Validation,Validation No Predication
1,NSW1001008,1,fullLeaf,92,16854,18.73,200,6.67,122,4.07,9,,,,,,,,,,,1,0,0,0,0
1,NSW1001008,2,fullLeaf,91,13399,14.89,252,8.4,89,2.97,28,,,,,,,,,,,1,0,0,0,0
1,NSW1001008,3,fullLeaf,91,30231,33.59,342,11.4,131,4.37,138,,,,,,,,,,,1,0,0,0,0
1,NSW1001008,4,fullLeaf,86,38148,42.39,414,13.8,153,5.1,64,,,,,,,,,,,1,0,0,0,0
2,NSW103074,1,fullLeaf,79,1483,1.65,76,2.53,33,1.1,79,,,,,,,,,,,1,0,0,0,0
2,NSW103074,2,fullLeaf,71,1730,1.92,78,2.6,37,1.23,108,,,,,,,,,,,1,0,0,0,0
2,NSW103074,3,fullLeaf,70,1086,1.21,58,1.93,35,1.17,59,,,,,,,,,,,1,0,0,0,0
3,NSW1051521,1,fullLeaf,95,5124,5.69,114,3.8,66,2.2,120,,,,,,,,,,,1,0,0,0,0
3,NSW1051521,2,fullLeaf,95,4750,5.28,122,4.07,58,1.93,129,,,,,,,,,,,1,0,0,0,0
3,NSW1051521,3,fullLeaf,94,5259,5.84,124,4.13,66,2.2,139,,,,,,,,,,,1,0,0,0,0
3,NSW1051521,4,fullLeaf,94,4833,5.37,116,3.87,68,2.27,63,,,,,,,,,,,1,0,0,0,0
3,NSW1051521,5,fullLeaf,83,3189,3.54,88,2.93,52,1.73,0,,,,,,,,,,,1,0,0,0,0
3,NSW1051521,6,fullLeaf,83,3331,3.7,96,3.2,56,1.87,25,,,,,,,,,,,1,0,0,0,0
3,NSW1051521,7,fullLeaf,82,2570,2.86,74,2.47,49,1.63,79,,,,,,,,,,,1,0,0,0,0
3,NSW1051521,8,fullLeaf,82,4501,5.0,128,4.27,56,1.87,0,,,,,,,,,,,1,0,0,0,0
3,NSW1051521,9,fullLeaf,81,5857,6.51,126,4.2,70,2.33,12,,,,,,,,,,,1,0,0,0,0
3,NSW1051521,10,fullLeaf,81,6839,7.6,136,4.53,76,2.53,52,,,,,,,,,,,1,0,0,0,0
3,NSW1051521,11,fullLeaf,79,3161,3.51,70,2.33,58,1.93,90,,,,,,,,,,,1,0,0,0,0
