Image Number,Image,Predication Number,Label Name,Confidence,Pixel Area Mask,cm Area Mask,Pixel Length,cm Length ,Pixel Width,cm Width ,Box Rotation Degrees,Validation Number,Pixel Area Validation,cm Area Validaiton,Pixel Length Validation,Pixel Width Validation,Box Rotation Degrees Validation,Pixel Area Accuracy %,Pixel Length Accuracy %,Pixel Width Accuracy %,Box Rotation Degrees Accuracy %,IOU %,Prediction,Validation,Prediction & Validation,Predication No Validation,Validation No Predication
334,NSW275624,2,fullLeaf,73,313566,348.41,1050,35,382,12.73,0,,,,,,,,,,,,1,0,0,0,0
562,NSW528779,1,fullLeaf,79,198995,221.11,776,25.87,352,11.73,150,,,,,,,,,,,,1,0,0,0,0
265,NSW200335,2,fullLeaf,87,179424,199.36,876,29.2,263,8.77,0,,,,,,,,,,,,1,0,0,0,0
350,NSW363303,1,fullLeaf,75,170823,189.8,756,25.2,308,10.27,12,,,,,,,,,,,,1,0,0,0,0
333,NSW274682,1,fullLeaf,86,164515,182.79,662,22.07,360,12,7,,,,,,,,,,,,1,0,0,0,0
1195,NSW931040,1,fullLeaf,89,152517,169.46,750,25,294,9.8,149,1,165192,183,838,290,151,92,89,101,99,92,1,1,1,0,0
1173,NSW895792,2,fullLeaf,82,147528,163.92,638,21.27,303,10.1,0,,,,,,,,,,,,1,0,0,0,0
1195,NSW931040,2,fullLeaf,79,144112,160.12,764,25.47,291,9.7,167,,,,,,,,,,,,1,0,0,1,0
1071,NSW833622,1,fullLeaf,95,138621,154.02,798,26.6,253,8.43,160,,,,,,,,,,,,1,0,0,0,0
1164,NSW870222,4,fullLeaf,81,137265,152.52,348,11.6,482,16.07,359,,,,,,,,,,,,1,0,0,0,0
1140,NSW837584,1,fullLeaf,77,135062,150.07,764,25.47,242,8.07,1,,,,,,,,,,,,1,0,0,0,0
266,NSW200340,1,fullLeaf,93,134250,149.17,644,21.47,298,9.93,7,,,,,,,,,,,,1,0,0,0,0
1071,NSW833622,2,fullLeaf,90,132568,147.3,806,26.87,241,8.03,10,,,,,,,,,,,,1,0,0,0,0
1005,NSW787301,2,fullLeaf,74,131140,145.71,584,19.47,302,10.07,29,,,,,,,,,,,,1,0,0,0,0
1173,NSW895792,1,fullLeaf,93,123188,136.88,604,20.13,277,9.23,147,,,,,,,,,,,,1,0,0,0,0
1142,NSW840844,2,fullLeaf,76,121703,135.23,446,14.87,352,11.73,131,,,,,,,,,,,,1,0,0,0,0
1005,NSW787301,1,fullLeaf,93,121167,134.63,578,19.27,278,9.27,17,,,,,,,,,,,,1,0,0,0,0
1193,NSW931038,2,fullLeaf,92,114170,126.86,612,20.4,255,8.5,111,,,,,,,,,,,,1,0,0,0,0
1000,NSW784562,1,fullLeaf,94,111648,124.05,568,18.93,264,8.8,4,,,,,,,,,,,,1,0,0,0,0
1065,NSW833596,2,fullLeaf,97,107631,119.59,530,17.67,269,8.97,141,,,,,,,,,,,,1,0,0,0,0
1000,NSW784562,4,fullLeaf,73,107266,119.18,596,19.87,259,8.63,117,,,,,,,,,,,,1,0,0,0,0
266,NSW200340,4,fullLeaf,79,106693,118.55,578,19.27,287,9.57,161,,,,,,,,,,,,1,0,0,0,0
414,NSW443589,2,fullLeaf,76,104844,116.49,488,16.27,331,11.03,132,,,,,,,,,,,,1,0,0,0,0
310,NSW267179,1,fullLeaf,95,103585,115.09,684,22.8,209,6.97,153,,,,,,,,,,,,1,0,0,0,0
1164,NSW870222,2,fullLeaf,91,98421,109.36,472,15.73,280,9.33,10,,,,,,,,,,,,1,0,0,0,0
1065,NSW833596,1,fullLeaf,98,97645,108.49,488,16.27,276,9.2,134,,,,,,,,,,,,1,0,0,0,0
414,NSW443589,1,fullLeaf,96,97596,108.44,454,15.13,305,10.17,44,,,,,,,,,,,,1,0,0,0,0
1072,NSW833659,2,fullLeaf,92,96800,107.56,506,16.87,252,8.4,127,,,,,,,,,,,,1,0,0,0,0
671,NSW528935,2,fullLeaf,88,95418,106.02,382,12.73,333,11.1,6,,,,,,,,,,,,1,0,0,0,0
994,NSW772337,1,fullLeaf,77,90188,100.21,462,15.4,257,8.57,131,,,,,,,,,,,,1,0,0,0,0
334,NSW275624,1,fullLeaf,82,89859,99.84,450,15,296,9.87,31,,,,,,,,,,,,1,0,0,0,0
1065,NSW833596,5,fullLeaf,73,89740,99.71,456,15.2,297,9.9,154,,,,,,,,,,,,1,0,0,0,0
563,NSW528780,2,fullLeaf,96,89096,99,510,17,234,7.8,144,,,,,,,,,,,,1,0,0,0,0
1164,NSW870222,3,fullLeaf,83,88668,98.52,450,15,274,9.13,60,,,,,,,,,,,,1,0,0,0,0
