Image Number,Image,Predication Number,Label Name,Confidence,Pixel Area Mask,cm Area Mask,Pixel Length,cm Length ,Pixel Width,cm Width ,Box Rotation Degrees,Validation Number,Pixel Area Validation,Pixel Length Validation,Pixel Width Validation,Box Rotation Degrees Validation,Pixel Area Accuracy %,Pixel Length Accuracy %,Pixel Width Accuracy %,Box Rotation Degrees Accuracy %,IOU %,Prediction,Validation,Prediction & Validation,Predication No Validation,Validation No Predication,Catalogue Number,Scientific Name (intepreted),Country - parsed,Latitude - original,Decimal latitude (WGS84),Decimal longitude (WGS84),Coordinate Uncertainty in Metres
98,NSW129516,5,fullLeaf,83,11239,12.49,236,7.87,71,2.37,157,1,12081,256,78,157,93,92,91,100,92,1,1,1,0,0,NSW129516,Syzygium ingens,Australia,-28.32,-28.32,153.4,10000
99,NSW129517,8,fullLeaf,81,11778,13.09,292,9.73,61,2.03,0,1,12447,308,65,0,95,95,94,0,93,1,1,1,0,0,NSW129517,Syzygium ingens,Australia,-28.82,-28.82,153.3975,10000
101,NSW129519,2,fullLeaf,90,18578,20.64,318,10.6,89,2.97,122,1,19848,348,89,122,94,91,100,100,87,1,1,1,0,0,NSW129519,Syzygium ingens,Australia,-28.52,-28.52,153.45,10000
181,NSW129615,2,fullLeaf,89,55708,61.9,326,10.87,235,7.83,1,1,55530,330,238,3,100,99,99,33,96,1,1,1,0,0,NSW129615,Syzygium suborbiculare,Australia,-12.45,-12.45,130.82,25000
233,NSW129677,2,fullLeaf,90,7144,7.94,194,6.47,59,1.97,111,1,7577,210,59,114,94,92,100,97,84,1,1,1,0,0,NSW129677,Syzygium ingens,Australia,-28.32,-28.32,153.4,10000
257,NSW136998,1,fullLeaf,89,14717,16.35,188,6.27,109,3.63,0,1,15736,204,116,13,94,92,94,0,92,1,1,1,0,0,NSW136998,Syzygium nervosum,Australia,-12.52,-12.52,130.8,1000
287,NSW243564,1,fullLeaf,89,46977,52.2,396,13.2,186,6.2,4,1,48323,370,197,109,97,107,94,4,1,1,1,1,0,0,NSW243564,Syzygium aqueum,Papua New Guinea,-6.73,-6.73,143.33,
287,NSW243564,4,fullLeaf,80,48276,53.64,340,11.33,193,6.43,116,1,48323,370,197,109,100,92,98,106,94,1,1,1,0,0,NSW243564,Syzygium aqueum,Papua New Guinea,-6.73,-6.73,143.33,
365,NSW379977,2,fullLeaf,95,8915,9.91,204,6.8,73,2.43,25,1,9825,228,78,25,91,89,94,100,90,1,1,1,0,0,NSW379977,Syzygium ingens,Australia,-28.82,-28.82,153.4,10000
368,NSW379982,1,fullLeaf,74,8332,9.26,180,6,68,2.27,0,1,12109,250,70,16,69,72,97,0,68,1,1,1,0,0,NSW379982,Syzygium ingens,Australia,-28.87,-28.87,153.05,10000
428,NSW475457,1,fullLeaf,98,13063,14.51,196,6.53,94,3.13,149,1,12749,196,93,148,102,100,101,101,96,1,1,1,0,0,NSW475457,Syzygium papyraceum,Australia,-17.12,-17.12,145.62,1000
570,NSW528788,3,fullLeaf,82,39227,43.59,304,10.13,177,5.9,147,1,40449,366,175,148,97,83,101,99,93,1,1,1,0,0,NSW528788,Syzygium nervosum,Australia,-13.725,-13.725,133.4917,1600
576,NSW528795,4,fullLeaf,86,17755,19.73,272,9.07,95,3.17,71,1,17832,270,97,68,100,101,98,104,96,1,1,1,0,0,NSW528795,Syzygium aqueum,Australia,-12.72,-12.72,143.25,2000
577,NSW528796,1,fullLeaf,97,31807,35.34,322,10.73,145,4.83,38,1,32929,342,139,40,97,94,104,95,95,1,1,1,0,0,NSW528796,Syzygium aqueum,Australia,-12.73,-12.73,143.23,2000
628,NSW528879,5,fullLeaf,92,11305,12.56,178,5.93,99,3.3,23,1,11609,188,103,27,97,95,96,85,93,1,1,1,0,0,NSW528879,Syzygium fullagarii,Australia,-31.52,-31.52,159.07,
628,NSW528879,10,fullLeaf,76,5164,5.74,174,5.8,58,1.93,18,1,11609,188,103,27,44,93,56,67,1,1,1,1,0,0,NSW528879,Syzygium fullagarii,Australia,-31.52,-31.52,159.07,
