ID,Genus species,Family,Area,Latitude,Longitude,MAT,MAP
1,Acer pensylvanicum,Sapindaceae,69.49,43.9,-71.75,5.6,1310
4,Acer rubrum,Sapindaceae,62.65,43.9,-71.75,5.6,1310
5,Acer saccharum,Sapindaceae,37.05,43.9,-71.75,5.6,1310
8,Betula alleghaniensis,Betulaceae,39.54,43.9,-71.75,5.6,1310
11,Betula papyrifera,Betulaceae,28.09,43.9,-71.75,5.6,1310
14,Fagus grandifolia,Fagaceae,54.56,43.9,-71.75,5.6,1310
17,Fraxinus americana,Oleaceae,18.26,43.9,-71.75,5.6,1310
20,Hamamelis virginiana,Hamamelidaceae,61.74,43.9,-71.75,5.6,1310
23,Ilex verticillata,Aquifoliaceae,6.93,43.9,-71.75,5.6,1310
26,Populus grandidentata,Salicaceae,25.74,43.9,-71.75,5.6,1310
29,Populus tremuloides,Salicaceae,14.73,43.9,-71.75,5.6,1310
32,Prunus pensylvanica,Rosaceae,16.92,43.9,-71.75,5.6,1310
35,Quercus rubra,Fagaceae,55.42,43.9,-71.75,5.6,1310
38,Tilia americana,Malvaceae,98.98,43.9,-71.75,5.6,1310
41,Vaccinium fuscatum,Ericaceae,11.37,43.9,-71.75,5.6,1310
44,Acer pensylvanicum,Sapindaceae,135.5,41.63,-71.751,7,1140
45,Acer rubrum,Sapindaceae,49.3,41.63,-71.751,7,1140
46,Acer saccharum,Sapindaceae,47.8,41.63,-71.751,7,1140
47,Acer spicatum,Sapindaceae,55.1,41.63,-71.751,7,1140
48,Amelanchier laevis,Rosaceae,24.4,41.63,-71.751,7,1140
49,Betula lenta,Betulaceae,49,41.63,-71.751,7,1140
50,Carpinus caroliniana,Betulaceae,26.3,41.63,-71.751,7,1140
51,Carya ovata,Juglandaceae,12.2,41.63,-71.751,7,1140
52,Clematis virginiana,Ranunculaceae,47.8,41.63,-71.751,7,1140
53,Comptonia peregrina,Myricaceae,5.5,41.63,-71.751,7,1140
54,Cornus amomum,Cornaceae,11.5,41.63,-71.751,7,1140
55,Crataegus sp55,Rosaceae,20.8,41.63,-71.751,7,1140
56,Dirca palustris,Thymelaeaceae,35.8,41.63,-71.751,7,1140
57,Fagus grandifolia,Fagaceae,47.5,41.63,-71.751,7,1140
58,Fraxinus americana,Oleaceae,23.4,41.63,-71.751,7,1140
59,Hamamelis virginiana,Hamamelidaceae,26.4,41.63,-71.751,7,1140
60,Kalmia latifolia,Ericaceae,16.9,41.63,-71.751,7,1140
61,Liriodendron tulipifera,Magnoliaceae,79.1,41.63,-71.751,7,1140
62,Magnolia acuminata,Magnoliaceae,264.3,41.63,-71.751,7,1140
63,Ostrya virginiana,Betulaceae,13.5,41.63,-71.751,7,1140
64,Populus grandidentata,Salicaceae,47,41.63,-71.751,7,1140
65,Populus tremuloides,Salicaceae,20.9,41.63,-71.751,7,1140
66,Prunus serotina,Rosaceae,12.9,41.63,-71.751,7,1140
67,Prunus virginiana,Rosaceae,9.3,41.63,-71.751,7,1140
68,Quercus alba,Fagaceae,39.1,41.63,-71.751,7,1140
69,Quercus michauxii,Fagaceae,61,41.63,-71.751,7,1140
70,Quercus rubra,Fagaceae,50.2,41.63,-71.751,7,1140
71,Rhododendron maximum,Ericaceae,56.1,41.63,-71.751,7,1140
72,Rhus typhina,Anacardiaceae,25.1,41.63,-71.751,7,1140
73,Rubus allegheniensis,Rosaceae,12.3,41.63,-71.751,7,1140
74,Rubus idaeus,Rosaceae,17.8,41.63,-71.751,7,1140
75,Rubus occidentalis,Rosaceae,8.1,41.63,-71.751,7,1140
76,Salix discolor,Salicaceae,21,41.63,-71.751,7,1140
77,Salix eriocephala,Salicaceae,19.8,41.63,-71.751,7,1140
78,Salix lucida,Salicaceae,23.3,41.63,-71.751,7,1140
79,Salix nigra,Salicaceae,6.8,41.63,-71.751,7,1140
80,Salix sericea,Salicaceae,8.7,41.63,-71.751,7,1140
81,Sambucus canadensis,Adoxaceae,9.1,41.63,-71.751,7,1140
82,Sambucus pubens,Adoxaceae,45.9,41.63,-71.751,7,1140
83,Sassafras albidum,Lauraceae,128.9,41.63,-71.751,7,1140
84,Tilia americana,Malvaceae,286.8,41.63,-71.751,7,1140
85,Ulmus americana,Ulmaceae,57,41.63,-71.751,7,1140
86,Ulmus rubra,Ulmaceae,63.8,41.63,-71.751,7,1140
87,Vaccinium angustifolium,Ericaceae,2.7,41.63,-71.751,7,1140
88,Vaccinium myrtilloides,Ericaceae,2.8,41.63,-71.751,7,1140
89,Viburnum cassinoides,Adoxaceae,26.9,41.63,-71.751,7,1140
90,Viburnum recognitum,Adoxaceae,20.2,41.63,-71.751,7,1140
91,Acer pensylvanicum,Sapindaceae,75.87,42.495,-74.138,7.2,1070
95,Acer rubrum,Sapindaceae,29.69,42.495,-74.138,7.2,1070
101,Acer saccharum,Sapindaceae,33.09,42.495,-74.138,7.2,1070
105,Amelanchier laevis,Rosaceae,18.88,42.495,-74.138,7.2,1070
111,Aronia arbutifolia,Rosaceae,13.81,42.495,-74.138,7.2,1070
117,Betula alleghaniensis,Betulaceae,30.12,42.495,-74.138,7.2,1070
123,Betula lenta,Betulaceae,26.61,42.495,-74.138,7.2,1070
129,Betula papyrifera,Betulaceae,36.05,42.495,-74.138,7.2,1070
135,Betula populifolia,Betulaceae,28.07,42.495,-74.138,7.2,1070
139,Castanea dentata,Fagaceae,87.73,42.495,-74.138,7.2,1070
144,Crataegus sp144,Rosaceae,8.97,42.495,-74.138,7.2,1070
147,Fagus grandifolia,Fagaceae,57.61,42.495,-74.138,7.2,1070
153,Fraxinus americana,Oleaceae,41.15,42.495,-74.138,7.2,1070
159,Hamamelis virginiana,Hamamelidaceae,44.16,42.495,-74.138,7.2,1070
161,Ilex verticillata,Aquifoliaceae,10.32,42.495,-74.138,7.2,1070
167,Kalmia latifolia,Ericaceae,11.87,42.495,-74.138,7.2,1070
173,Lyonia ligustrina,Ericaceae,15.26,42.495,-74.138,7.2,1070
179,Nemopanthus mucronatus,Aquifoliaceae,5.27,42.495,-74.138,7.2,1070
185,Nyssa sylvatica,Nyssaceae,20.5,42.495,-74.138,7.2,1070
191,Populus grandidentata,Salicaceae,43.29,42.495,-74.138,7.2,1070
197,Populus tremuloides,Salicaceae,30.7,42.495,-74.138,7.2,1070
203,Prunus serotina,Rosaceae,22.99,42.495,-74.138,7.2,1070
209,Quercus alba,Fagaceae,109.91,42.495,-74.138,7.2,1070
213,Quercus rubra,Fagaceae,79.47,42.495,-74.138,7.2,1070
218,Rhododendron prinophyllum,Ericaceae,7.58,42.495,-74.138,7.2,1070
221,Vaccinium corymbosum,Ericaceae,17.32,42.495,-74.138,7.2,1070
227,Viburnum recognitum,Adoxaceae,42.35,42.495,-74.138,7.2,1070
236,Acer pensylvanicum,Sapindaceae,169.63,42.51,-74.138,7.6,880
239,Acer rubrum,Sapindaceae,43.36,42.51,-74.138,7.6,880
242,Acer saccharum,Sapindaceae,34.63,42.51,-74.138,7.6,880
245,Betula alleghaniensis,Betulaceae,16.53,42.51,-74.138,7.6,880
248,Betula papyrifera,Betulaceae,5.66,42.51,-74.138,7.6,880
249,Betula populifolia,Betulaceae,8.87,42.51,-74.138,7.6,880
252,Carpinus caroliniana,Betulaceae,25.38,42.51,-74.138,7.6,880
253,Carya ovata,Juglandaceae,60.87,42.51,-74.138,7.6,880
256,Fagus grandifolia,Fagaceae,27.95,42.51,-74.138,7.6,880
259,Fraxinus americana,Oleaceae,18.31,42.51,-74.138,7.6,880
262,Fraxinus pennsylvanica,Oleaceae,44.87,42.51,-74.138,7.6,880
265,Hamamelis virginiana,Hamamelidaceae,37.88,42.51,-74.138,7.6,880
268,Ostrya virginiana,Betulaceae,23.28,42.51,-74.138,7.6,880
271,Populus tremuloides,Salicaceae,13.48,42.51,-74.138,7.6,880
274,Prunus serotina,Rosaceae,18.52,42.51,-74.138,7.6,880
277,Quercus rubra,Fagaceae,28.82,42.51,-74.138,7.6,880
278,Salix discolor,Salicaceae,15.26,42.51,-74.138,7.6,880
281,Sambucus pubens,Adoxaceae,23.1,42.51,-74.138,7.6,880
284,Tilia americana,Malvaceae,130.01,42.51,-74.138,7.6,880
286,Ulmus americana,Ulmaceae,43.11,42.51,-74.138,7.6,880
289,Vaccinium sp289,Ericaceae,4.85,42.51,-74.138,7.6,880
292,Viburnum sp292,Adoxaceae,16.16,42.51,-74.138,7.6,880
295,Viburnum sp295,Adoxaceae,38.11,42.51,-74.138,7.6,880
298,Acer negundo,Sapindaceae,18.47,41.8,-73.75,9.5,1090
301,Acer pensylvanicum,Sapindaceae,122.05,41.8,-73.75,9.5,1090
304,Acer rubrum,Sapindaceae,40.63,41.8,-73.75,9.5,1090
307,Acer saccharum,Sapindaceae,97.23,41.8,-73.75,9.5,1090
310,Betula lenta,Betulaceae,31.32,41.8,-73.75,9.5,1090
313,Betula populifolia,Betulaceae,12.67,41.8,-73.75,9.5,1090
316,Carpinus caroliniana,Betulaceae,21.33,41.8,-73.75,9.5,1090
319,Carya glabra,Juglandaceae,30.47,41.8,-73.75,9.5,1090
322,Carya alba,Juglandaceae,69.94,41.8,-73.75,9.5,1090
325,Cornus florida,Cornaceae,32.04,41.8,-73.75,9.5,1090
328,Cornus amomum subsp. obliqua,Cornaceae,8.49,41.8,-73.75,9.5,1090
331,Fagus grandifolia,Fagaceae,41.2,41.8,-73.75,9.5,1090
334,Fraxinus sp334,Oleaceae,47.53,41.8,-73.75,9.5,1090
337,Fraxinus sp337,Oleaceae,38.67,41.8,-73.75,9.5,1090
340,Hamamelis virginiana,Hamamelidaceae,80.78,41.8,-73.75,9.5,1090
343,Ilex verticillata,Aquifoliaceae,11.87,41.8,-73.75,9.5,1090
346,Juglans nigra,Juglandaceae,22.93,41.8,-73.75,9.5,1090
349,Liriodendron tulipifera,Magnoliaceae,163.76,41.8,-73.75,9.5,1090
352,Ostrya virginiana,Betulaceae,26.11,41.8,-73.75,9.5,1090
355,Platanus occidentalis,Platanaceae,216.56,41.8,-73.75,9.5,1090
357,Populus grandidentata,Salicaceae,45.34,41.8,-73.75,9.5,1090
360,Populus tremuloides,Salicaceae,20.62,41.8,-73.75,9.5,1090
363,Prunus serotina,Rosaceae,20.21,41.8,-73.75,9.5,1090
366,Quercus alba,Fagaceae,45.66,41.8,-73.75,9.5,1090
369,Quercus michauxii,Fagaceae,86.88,41.8,-73.75,9.5,1090
372,Quercus rubra,Fagaceae,66.55,41.8,-73.75,9.5,1090
375,Robinia sp375,Fabaceae,6.66,41.8,-73.75,9.5,1090
378,Salix lucida,Salicaceae,4.89,41.8,-73.75,9.5,1090
381,Sassafras albidum,Lauraceae,65.58,41.8,-73.75,9.5,1090
384,Tilia americana,Malvaceae,114.15,41.8,-73.75,9.5,1090
387,Ulmus americana,Ulmaceae,28.73,41.8,-73.75,9.5,1090
390,Acer rubrum,Sapindaceae,27.71,41.53,-72.744,10.2,1210
393,Acer saccharum,Sapindaceae,40.72,41.53,-72.744,10.2,1210
396,Betula alleghaniensis,Betulaceae,28.5,41.53,-72.744,10.2,1210
399,Betula lenta,Betulaceae,44.42,41.53,-72.744,10.2,1210
402,(u_Betulaceae sp402,Betulaceae,35.52,41.53,-72.744,10.2,1210
405,Carpinus caroliniana,Betulaceae,26.76,41.53,-72.744,10.2,1210
408,Carya glabra,Juglandaceae,34.06,41.53,-72.744,10.2,1210
411,Carya alba,Juglandaceae,54.79,41.53,-72.744,10.2,1210
414,Cornus florida,Cornaceae,28.42,41.53,-72.744,10.2,1210
417,Fagus grandifolia,Fagaceae,51.6,41.53,-72.744,10.2,1210
420,Fraxinus americana,Oleaceae,31.22,41.53,-72.744,10.2,1210
423,Hamamelis virginiana,Hamamelidaceae,47.87,41.53,-72.744,10.2,1210
426,Ilex verticillata,Aquifoliaceae,9.69,41.53,-72.744,10.2,1210
429,Kalmia latifolia,Ericaceae,5.28,41.53,-72.744,10.2,1210
432,Lindera benzoin,Lauraceae,36.01,41.53,-72.744,10.2,1210
435,Liriodendron tulipifera,Magnoliaceae,50.14,41.53,-72.744,10.2,1210
438,Nyssa sylvatica,Nyssaceae,30.67,41.53,-72.744,10.2,1210
441,Ostrya virginiana,Betulaceae,18.1,41.53,-72.744,10.2,1210
444,Populus grandidentata,Salicaceae,39.62,41.53,-72.744,10.2,1210
447,Quercus alba,Fagaceae,64.58,41.53,-72.744,10.2,1210
450,Quercus michauxii,Fagaceae,58.5,41.53,-72.744,10.2,1210
453,Quercus velutina,Fagaceae,42.7,41.53,-72.744,10.2,1210
456,Rhododendron periclymenoides,Ericaceae,13.16,41.53,-72.744,10.2,1210
459,Rhododendron sp459,Ericaceae,17.21,41.53,-72.744,10.2,1210
462,Sassafras albidum,Lauraceae,57.35,41.53,-72.744,10.2,1210
465,Vaccinium corymbosum,Ericaceae,12.94,41.53,-72.744,10.2,1210
468,Acer pensylvanicum,Sapindaceae,108.36,40.63,-75.98,10.8,1160
470,Acer rubrum,Sapindaceae,43.5,40.63,-75.98,10.8,1160
473,Amelanchier arborea,Rosaceae,30.45,40.63,-75.98,10.8,1160
476,Carpinus caroliniana,Betulaceae,27.4,40.63,-75.98,10.8,1160
479,Carya glabra var. odorata,Juglandaceae,40.71,40.63,-75.98,10.8,1160
